,is_paid,num_subscribers,average_rating,rating,num_reviews,num_lectures,num_tests,time_created,time_published,discount,price
112,1,15445,4.49911,4.37074,3754,398,0,16898,16986,6.161458333333334,117.0
113,1,17226,4.52144,4.48169,3742,35,0,17497,17522,6.161458333333334,117.0
114,1,12864,4.54621,4.57774,3672,37,0,17147,17171,6.161458333333334,117.0
115,1,16218,4.39599,4.38889,3665,87,0,16576,16583,6.161458333333334,117.0
116,1,20258,4.39798,4.3452,3668,40,0,17090,17092,6.2562500000000005,39.0
117,1,12506,4.36449,4.35506,3657,57,0,17234,17252,6.161458333333334,73.66666666666667
118,1,16016,4.53636,4.49352,3642,114,0,17336,17435,6.161458333333334,117.0
119,1,23044,4.44862,4.44526,3626,37,0,16548,16595,6.161458333333334,117.0
120,1,21310,4.506,4.50923,3587,56,0,17232,17481,6.161458333333334,86.66666666666667
121,1,28811,4.65399,4.66003,3586,45,0,16264,16355,6.161458333333334,117.0
122,1,6153,4.4007,4.41012,3589,23,0,17043,17078,6.161458333333334,43.333333333333336
123,1,77373,4.60651,4.61955,3576,62,0,17720,17848,6.161458333333334,117.0
124,1,13819,4.41452,4.39808,3563,35,0,16304,16325,6.161458333333334,73.66666666666667
125,1,16756,4.32136,4.26479,3557,30,0,16824,16967,6.161458333333334,117.0
126,1,15174,4.41604,4.40143,3543,58,0,16700,16702,10.833333333333334,43.333333333333336
127,1,11405,4.58471,4.60612,3517,55,0,17418,17485,6.161458333333334,117.0
128,1,11653,4.40152,4.39118,3430,22,0,17169,17193,6.161458333333334,86.66666666666667
129,1,7453,4.36531,4.33452,3422,24,0,17002,17003,6.161458333333334,26.0
130,1,14644,4.37332,4.31283,3401,22,0,17724,17736,6.161458333333334,117.0
131,1,28894,4.31591,4.28561,3394,18,0,16035,16056,6.161458333333334,43.333333333333336
132,1,9475,4.40617,4.4235,3372,51,0,17031,17038,6.161458333333334,117.0
133,1,14308,4.66115,4.67377,3356,122,0,17569,17591,6.161458333333334,117.0
134,1,83126,4.12876,4.15775,3348,66,0,16728,16813,6.513541666666667,121.33333333333334
135,1,18802,4.64847,4.65102,3344,369,0,17900,17975,6.161458333333334,117.0
136,1,15542,4.45327,4.39867,3339,71,0,17625,17674,6.161458333333334,117.0
137,1,13530,4.28972,4.28834,3328,165,0,16350,16805,6.608333333333333,125.66666666666669
138,1,24847,4.52647,4.52638,3305,56,0,17065,17090,6.161458333333334,117.0
139,1,13712,4.29722,4.26506,3290,36,0,16545,16554,6.161458333333334,17.333333333333336
140,1,9876,4.33333,4.3898,3270,26,0,17538,17547,6.161458333333334,43.333333333333336
141,1,8111,4.29382,4.34367,3262,25,0,17393,17432,6.161458333333334,21.666666666666668
142,1,7556,4.34922,4.36594,3270,29,1,17983,17997,0.0,173.33333333333334
143,1,10924,4.40312,4.45424,3242,35,0,17006,17020,6.161458333333334,117.0
144,1,16406,4.46085,4.21029,3217,120,0,16782,16891,6.161458333333334,117.0
145,1,14958,4.4156,4.35902,3200,247,0,17903,17931,6.513541666666667,121.33333333333334
146,1,19166,4.45363,4.45428,3177,135,0,16920,17098,6.161458333333334,117.0
147,1,12244,4.40347,4.40381,3159,46,0,17446,17449,6.161458333333334,117.0
148,1,28744,4.4,4.39662,3116,5,0,16650,16659,6.161458333333334,17.333333333333336
149,1,23932,4.08065,4.11044,3108,11,0,16784,16923,6.161458333333334,17.333333333333336
150,1,7916,4.31579,4.30947,3102,11,0,17429,17449,6.161458333333334,43.333333333333336
